bodydearword.feature,bodyform.feature,bodyhtml.feature,bodymultipart.feature,bodynumchars.feature,bodynumfunctionwords.feature,bodynumuniqwords.feature,bodynumwords.feature,bodyrichness.feature,bodysuspensionword.feature,bodyverifyyouraccountphrase.feature,externalsabinary.feature,externalsascore.feature,scriptjavascript.feature,scriptonclick.feature,scriptpopup.feature,scriptstatuschange.feature,scriptunmodalload.feature,senddiffreplyto.feature,sendnumwords.feature,sendunmodaldomain.feature,subjectbankword.feature,subjectdebitword.feature,subjectfwdword.feature,subjectnumchars.feature,subjectnumwords.feature,subjectreplyword.feature,subjectrichness.feature,subjectverifyword.feature,urlatchar.feature,urlbaglink.feature,urlip.feature,urlnumdomains.feature,urlnumexternallink.feature,urlnumimagelink.feature,urlnuminternallink.feature,urlnumip.feature,urlnumlink.feature,urlnumperiods.feature,urlnumport.feature,urlport.feature,urltwodoains.feature,urlunmodalbaglink.feature,urlwordclicklink.feature,urlwordherelink.feature,urlwordloginlink.feature,urlwordupdatelink.feature,class
0,0,0,0,4806,0,417,994,0.206825,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,371,0,69,80,0.215633,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
0,0,0,0,14504,103,1238,2805,0.193395,0,0,1,8.4,0,0,0,0,0,0,0,0,0,0,0,28,5,0,0.178571,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,579,0,94,127,0.219344,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,8,1,0.205128,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
0,0,0,0,357,0,62,88,0.246499,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,8,1,0.205128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,3180,2,332,549,0.172642,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,9,0,0.173077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,4526,0,426,975,0.215422,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,674,0,109,154,0.228487,0,0,0,0.9,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,759,0,121,180,0.237154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,9,0,0.230769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,3563,6,366,721,0.202358,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0.131579,0,0,0,0,5,0,2,0,0,3,2,0,0,0,0,0,0,0,0,ham
0,0,0,0,646,1,105,148,0.229102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,8,1,0.205128,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
0,0,0,0,1558,0,167,308,0.197689,0,0,0,0.9,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,1,10951,18,519,2227,0.20336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0.142857,0,0,2,0,2,0,1,0,0,5,2,0,0,0,0,1,1,0,0,ham
0,0,0,0,827,1,128,188,0.227328,0,0,0,0.9,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,4403,3,493,956,0.217125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,3,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1117,0,138,199,0.178156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,10,0,0.153846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,472,1,82,96,0.20339,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,32,5,0,0.15625,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,388,0,67,85,0.219072,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,1,8752,21,432,1717,0.196184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,0.166667,0,0,1,0,3,0,1,0,0,4,2,0,0,0,0,1,1,0,0,ham
0,1,1,0,10549,18,569,2267,0.214902,0,0,0,2.7,1,0,0,0,1,0,0,0,0,0,0,46,9,0,0.195652,0,0,0,0,6,54,10,6,0,61,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,128,0,25,29,0.226563,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,15,2,0,0.133333,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,234,0,49,52,0.222222,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,42,6,0,0.142857,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,732,0,123,165,0.22541,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,554,0,104,134,0.241877,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,40,7,1,0.175,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,5796,0,223,1296,0.223602,0,0,0,2.7,1,0,0,0,1,0,0,0,0,0,0,43,11,0,0.255814,0,0,0,0,5,21,8,4,0,26,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,5308,9,532,1096,0.206481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0.225806,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,186,1,31,36,0.193548,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,37,8,1,0.216216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,729,1,112,173,0.237311,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,38,8,0,0.210526,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1701,2,230,392,0.230453,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,21,5,0,0.238095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,2218,6,271,436,0.196573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0.185185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1058,0,162,238,0.224953,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,21,4,1,0.190476,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,3418,7,371,675,0.197484,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,14,4,0,0.285714,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
1,1,1,0,19163,30,1402,3939,0.205552,0,0,0,3.5,0,0,0,0,0,1,4,0,0,0,0,42,5,0,0.119048,0,0,1,0,33,73,4,0,0,82,3,0,0,0,0,1,0,0,0,ham
0,0,0,0,751,1,118,173,0.23036,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,46,10,1,0.217391,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,15670,35,1254,3236,0.206509,0,0,1,5.9,1,0,0,0,0,1,4,0,0,0,0,42,5,0,0.119048,0,0,0,0,45,116,11,0,0,118,4,0,0,0,0,0,0,0,0,ham
0,0,0,0,1701,2,230,392,0.230453,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,21,5,0,0.238095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,360,2,62,75,0.208333,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,22,5,0,0.227273,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,689,0,114,146,0.211901,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,8,0,0.153846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,1,5774,3,294,1255,0.217354,0,0,0,2.1,1,0,0,0,0,0,0,0,0,0,0,26,6,0,0.230769,0,0,1,0,15,0,12,0,0,26,3,0,0,1,1,1,1,0,0,ham
0,0,0,0,1575,3,204,344,0.218413,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,45,8,1,0.177778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,464,2,77,90,0.193966,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,45,8,1,0.177778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,562,2,75,118,0.209964,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,21,4,1,0.190476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,15997,10,761,3426,0.214165,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,21,5,0,0.238095,0,0,7,0,7,71,2,0,0,72,2,0,0,0,1,1,1,0,0,ham
0,0,0,0,136,0,28,32,0.235294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,5,0,0.172414,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,203,1,36,41,0.20197,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,45,8,1,0.177778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,11797,25,992,2442,0.207002,0,0,1,7.8,0,0,0,0,0,1,4,0,0,0,0,43,5,0,0.116279,0,0,0,0,30,82,4,0,0,86,3,0,0,0,0,0,0,0,0,ham
0,0,0,0,936,1,145,196,0.209402,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,31,6,0,0.193548,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,364,1,61,79,0.217033,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,18,3,0,0.166667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,7470,6,417,1643,0.219946,0,0,0,3.5,1,0,0,0,1,0,0,0,0,0,0,55,12,0,0.218182,0,0,0,0,7,0,4,0,0,41,4,0,0,1,0,0,0,0,0,ham
0,0,1,1,15364,58,806,3046,0.198256,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,41,6,0,0.146341,0,0,7,0,4,53,10,44,0,101,4,0,0,0,1,1,1,0,1,ham
0,0,0,0,161,0,34,38,0.236025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,6,1,0.1875,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,451,1,84,99,0.219512,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,31,6,0,0.193548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1048,1,148,241,0.229962,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,21,4,1,0.190476,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,10109,17,521,2167,0.214363,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,45,11,0,0.244444,0,0,2,0,4,52,5,1,0,54,4,0,0,1,1,0,1,0,1,ham
0,0,0,0,1059,1,141,248,0.234183,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,21,3,0,0.142857,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,593,2,94,121,0.204047,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,22,5,1,0.227273,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1122,1,156,258,0.229947,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,21,4,1,0.190476,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,11392,32,916,2344,0.205758,0,0,0,3.5,0,0,0,0,0,1,4,0,0,0,0,33,5,0,0.151515,0,0,0,0,28,69,4,0,0,72,3,0,0,0,0,0,0,0,0,ham
0,0,0,0,455,2,85,109,0.23956,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,23,5,1,0.217391,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,515,1,80,114,0.221359,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,32,6,1,0.1875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,9661,1,442,2066,0.213849,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,32,6,0,0.1875,0,0,1,0,7,68,4,0,0,69,4,0,0,0,0,0,0,0,1,ham
0,0,0,0,1132,1,152,267,0.235866,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,24,4,1,0.166667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,7315,3,306,1594,0.217908,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,61,11,0,0.180328,0,0,0,0,7,60,12,0,0,61,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,645,1,107,141,0.218605,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,21,4,1,0.190476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,503,3,93,113,0.224652,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,61,11,1,0.180328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,10345,15,571,2203,0.212953,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,41,8,0,0.195122,0,0,0,0,6,54,10,6,0,61,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,1802,1,248,380,0.210877,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,29,7,1,0.241379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,924,1,149,209,0.22619,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,31,6,0,0.193548,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,9315,6,512,1979,0.212453,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,60,11,0,0.183333,0,0,1,0,5,47,4,0,0,50,4,0,0,1,1,1,1,0,0,ham
0,0,0,0,909,3,138,209,0.229923,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,43,7,1,0.162791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
1,1,1,0,9363,10,495,2010,0.214675,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,25,8,0,0.32,0,0,3,0,5,62,7,0,0,63,5,0,0,1,1,0,1,0,0,ham
0,0,0,0,734,3,119,164,0.223433,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,43,7,1,0.162791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,210,0,46,48,0.228571,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,10,2,1,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,346,0,64,78,0.225434,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,10,2,1,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,811,3,127,187,0.23058,0,0,0,0.4,0,0,0,0,0,1,3,0,0,0,0,43,7,1,0.162791,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
1,0,1,0,4407,6,192,960,0.217835,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0.257143,0,0,0,0,3,17,2,0,0,17,4,0,0,1,0,0,0,0,0,ham
0,0,1,0,11107,10,529,2307,0.207707,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,46,7,0,0.152174,0,0,0,0,6,46,3,0,0,46,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,710,3,120,164,0.230986,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,31,5,0,0.16129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1907,3,236,411,0.215522,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,45,8,1,0.177778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,2206,6,280,437,0.198096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0.192308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,307,3,51,63,0.205212,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,27,4,0,0.148148,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,248,0,49,56,0.225806,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,30,6,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,512,1,80,103,0.201172,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,13,1,0,0.076923,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,1359,3,191,319,0.234731,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,43,7,1,0.162791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,16740,42,1242,3546,0.211828,0,0,1,5.9,0,0,0,0,0,1,4,0,0,0,0,35,5,0,0.142857,0,0,1,0,35,106,12,0,0,108,4,0,0,0,1,1,1,0,0,ham
0,0,0,0,174,0,31,35,0.201149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,381,3,72,89,0.233596,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,34,6,1,0.176471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,1,12264,8,306,2784,0.227006,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,43,8,0,0.186047,0,0,0,0,4,56,13,0,0,56,7,0,0,1,0,0,0,0,0,ham
0,0,0,0,162,1,26,33,0.203704,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,19,4,0,0.210526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,717,3,110,162,0.225941,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,43,7,1,0.162791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,1,1,0,5314,7,388,1087,0.204554,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,49,8,0,0.163265,0,0,0,0,6,21,2,0,0,23,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,433,2,71,85,0.196305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,1,0.159091,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
0,1,1,0,6194,2,229,1394,0.225057,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,53,12,0,0.226415,0,0,0,0,6,45,16,0,0,45,2,0,0,0,0,0,0,0,0,ham
0,0,0,0,661,3,111,151,0.228442,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,43,7,1,0.162791,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,827,4,141,201,0.243047,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,34,6,1,0.176471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,599,1,103,138,0.230384,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,22,5,1,0.227273,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,8109,7,438,1803,0.222346,0,0,0,2.2,1,0,0,0,1,0,0,0,0,0,0,52,12,0,0.230769,0,0,2,0,9,0,5,0,0,44,4,0,0,1,1,0,1,0,0,ham
0,0,1,1,5886,4,300,1277,0.216955,0,0,0,2.1,1,0,0,0,0,0,0,0,0,0,0,26,6,0,0.230769,0,0,1,0,15,0,11,0,0,28,3,0,0,1,1,1,1,0,0,ham
0,0,0,0,2020,1,251,421,0.208416,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,16,2,1,0.125,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
0,0,0,0,500,3,90,118,0.236,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,34,6,1,0.176471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,1,0,10254,16,542,2165,0.211137,0,0,0,2.2,1,0,0,0,0,0,0,0,0,0,0,45,7,0,0.155556,0,0,1,0,3,55,4,1,0,57,4,0,0,1,1,0,0,0,1,ham
0,0,0,0,1356,2,199,300,0.221239,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,34,7,1,0.205882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,615,3,112,147,0.239024,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,34,6,1,0.176471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,563,3,100,127,0.225577,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,34,6,1,0.176471,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,126,0,26,28,0.222222,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,70,6,0,0.085714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,971,3,148,213,0.219361,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,25,6,1,0.24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
1,1,1,0,9071,1,546,1971,0.217286,0,0,0,3.4,1,0,0,0,1,0,0,0,0,0,0,34,7,0,0.205882,0,0,0,0,7,63,10,0,0,65,8,0,0,1,0,0,0,0,0,ham
0,0,0,0,513,3,90,118,0.230019,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,34,6,1,0.176471,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,744,0,108,154,0.206989,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,16,2,1,0.125,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,324,0,54,75,0.231481,0,0,0,2.4,0,0,0,0,0,1,3,1,0,0,0,17,5,1,0.294118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
0,0,0,0,104,3,16,18,0.173077,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,31,6,0,0.193548,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ham
1,1,1,0,7302,3,370,1593,0.218159,0,0,0,3.4,1,0,0,0,1,0,0,0,0,0,0,58,10,0,0.172414,0,0,0,0,6,54,9,0,0,55,4,0,0,1,0,0,0,0,0,ham
0,0,0,0,1327,2,107,331,0.249435,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,70,5,0,0.071429,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ham
